CardCode,CardName,CNPJ,City,State,Phone1,E_Mail,SlpCode,CreateDate,UpdateDate
C00001,Sampaio Lima Ltda.,82814893252880,Brasília,DF,(031) 0145-0899,escola11@email.com.br,9,2022-05-15,2025-03-07
C00002,Nogueira,01438889937567,Juiz de Fora,MG,+55 21 5889-1637,escola208@email.com.br,20,2022-02-14,2024-08-06
C00003,das Neves - EI,86571918261990,Anápolis,GO,(084) 6289 0028,escola247@email.com.br,16,2022-10-08,2025-05-12
C00004,Ribeiro,94101372151070,Juazeiro do Norte,CE,(071) 7217-5354,escola253@email.com.br,11,2023-03-09,2025-01-23
C00005,Pimenta,10475412126788,Olinda,PE,+55 (071) 8386 6317,escola198@email.com.br,13,2023-01-19,2023-12-16
C00006,Rodrigues e Filhos,66319314919058,Natal,RN,(031) 9717-7517,escola49@email.com.br,10,2022-02-09,2024-07-21
C00007,Brito Garcia Ltda.,54353462475107,Natal,RN,+55 (031) 1660 8801,escola23@email.com.br,5,2022-05-10,2023-10-28
C00008,Mendes,42257905072368,Natal,RN,0500-948-8375,escola217@email.com.br,11,2022-12-19,2025-03-17
C00009,Casa Grande Rezende e Filhos,08621182339845,Olinda,PE,21 0375 8997,escola190@email.com.br,20,2023-03-23,2025-12-10
C00010,Cirino,89856257532603,Recife,PE,21 7113 0554,escola298@email.com.br,16,2022-05-21,2024-05-18
C00011,Araújo - ME,85931746120047,Vila Velha,ES,81 8510-2726,escola86@email.com.br,14,2022-07-02,2024-01-05
C00012,Pastor - ME,40781618495931,Maceió,AL,+55 51 4933 1637,escola4@email.com.br,6,2022-05-08,2025-03-15
C00013,Machado,20616329451168,Cuiabá,MT,+55 (071) 5160-9177,escola276@email.com.br,1,2022-12-06,2024-02-27
C00014,Mendonça Cunha Ltda.,11526218159970,Belo Horizonte,MG,0900 827 0808,escola268@email.com.br,7,2022-10-29,2024-09-23
C00015,Camargo,73799650752735,Belém,PA,(021) 9782-9221,escola52@email.com.br,1,2022-09-22,2024-11-22
C00016,Camargo S/A,47312172715518,Belém,PA,51 9958 6693,escola137@email.com.br,10,2023-05-07,2024-08-02
C00017,da Mata da Paz - EI,51888880670654,Maceió,AL,+55 84 6547-2269,escola127@email.com.br,10,2022-10-23,2025-06-01
